URL,Page Type,Title Tag,Meta Description,Primary Keywords,Secondary Keywords,Potential Cannibalization Risk,Internal Links To
/,Homepage,"Roofing Company Jacksonville FL | Jacksonville Roofing Contractor | Gimo's Roofing","Looking for the best roofing company in Jacksonville FL? Gimo's Roofing provides expert residential roofing services, roof repair, replacement & installation.","roofing company jacksonville fl, jacksonville roofing contractor","residential roofing services, roof repair, roof replacement, roof installation",Low - Main brand page (Jacksonville page consolidated here),N/A
/services,Services Index,"Roofing & Siding Services Jacksonville FL | Gimo's Roofing","Professional roofing and siding services in Jacksonville FL. Roof installation, replacement, repair, commercial roofing, and siding services.","roofing services jacksonville fl, siding services jacksonville fl","roof installation, roof replacement, roof repair, commercial roofing",Low - Services hub page,N/A
/services/roof-replacement,Service Page,"Roof Replacement Jacksonville FL | New Roof Installation | Reroofing Services | Gimo's Roofing","Need roof replacement in Jacksonville FL? Get accurate roofing estimates for new roof installation, asphalt shingle replacement & reroofing services. Jacksonville roof replacement cost starts at $7,900.","roof replacement jacksonville fl, new roof installation, standing seam metal roofing contractor","roofing estimates, asphalt shingle replacement, roof replacement cost, metal roofing",Low - Distinct service type,N/A
/services/roof-repair,Service Page,"Roof Repair Jacksonville FL | Emergency Roofers | Leaky Roof Repair | Gimo's Roofing","Need roof repair in Jacksonville FL? Gimo's Roofing offers fast leaky roof repair, emergency roofing services, shingle repair near me, roof leak detection & storm damage repair.","roof repair jacksonville fl, emergency roofers, leaky roof repair","shingle repair near me, roof leak detection, storm damage repair",Low - Distinct service type,N/A
/services/commercial-roofing,Service Page,"Commercial Roofing Jacksonville FL | Business Roofing Services | Gimo's Roofing","Professional commercial roofing in Jacksonville FL. TPO, EPDM, metal & modified bitumen roofing for businesses.","commercial roofing jacksonville fl, tpo roofing contractor, multi family roofing contractor","TPO roofing, EPDM roofing, metal roofing, flat roof, business roofing",Low - Distinct service type with new KD 0-6 keywords,N/A
/services/new-construction-roofing,Service Page,"New Construction Roofing Jacksonville FL | New Home Roof Installation | Gimo's Roofing","New construction roofing services in Jacksonville FL. Expert roof installation for new home builds, working with builders & contractors.","new construction roofing jacksonville fl, new home roof installation","roof installation, builders, contractors, asphalt roofing, metal roofing, tile roofing",Low - Distinct service type,N/A
/services/siding-installation,Service Page,"Siding Installation Jacksonville FL | Vinyl Siding Contractors | Hardie Board Installation | Gimo's Roofing","Professional siding installation in Jacksonville FL. Vinyl siding contractors, Hardie board installation, house siding replacement & exterior home remodeling.","siding installation jacksonville fl, vinyl siding contractors, hardie board installation","house siding replacement, exterior home remodeling",Low - Siding is distinct from roofing,N/A
/services/siding-repair,Service Page,"Siding Repair Jacksonville FL | Siding Repair Near Me | Vinyl Siding Repair | Gimo's Roofing","Expert siding repair near you in Jacksonville FL. Vinyl siding repair, storm damage repair, section replacement & exterior home repair.","siding repair jacksonville fl, siding repair near me, vinyl siding repair","storm damage repair, exterior home repair",Low - Siding is distinct from roofing,N/A
/about,About Page,"About Gimo's Roofing | Jacksonville FL Roofing Contractor","Learn about Gimo's Roofing - Jacksonville's trusted roofing contractor. Discover our commitment to quality, customer service, and community.","jacksonville fl roofing contractor, about gimo's roofing","trusted roofing contractor, quality, customer service",Low - Brand/informational page,N/A
/contact,Contact Page,"Contact Gimo's Roofing | Get a Free Estimate | Jacksonville FL","Contact Gimo's Roofing for a free roofing estimate in Jacksonville FL. Call (904) 606-5313 or use our online estimator.","contact gimo's roofing, free roofing estimate jacksonville fl","roofing estimate, free estimate",Low - Transactional page,N/A
